Airport_Name,Most_Frequent_Reason,Number_Of_Cancellations
"New York, NY: LaGuardia","National Air System",456
"New York, NY: John F. Kennedy International","National Air System",304
"Newark, NJ: Newark Liberty International","National Air System",302
"Boston, MA: Logan International","National Air System",187
"Washington, DC: Ronald Reagan Washington National","National Air System",142
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Weather,97
"Charlotte, NC: Charlotte Douglas International",Weather,84
"Orlando, FL: Orlando International",Weather,77
"Las Vegas, NV: McCarran International",Weather,76
"Chicago, IL: Chicago O'Hare International",Weather,72
"Philadelphia, PA: Philadelphia International","National Air System",72
"Philadelphia, PA: Philadelphia International",Weather,72
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Weather,63
"Detroit, MI: Detroit Metro Wayne County","National Air System",61
"Raleigh/Durham, NC: Raleigh-Durham International","National Air System",58
"Pittsburgh, PA: Pittsburgh International","National Air System",58
"Indianapolis, IN: Indianapolis International","National Air System",52
"Los Angeles, CA: Los Angeles International",Carrier,51
"Washington, DC: Washington Dulles International",Weather,49
"Denver, CO: Denver International",Weather,49
"Columbus, OH: John Glenn Columbus International","National Air System",47
"Norfolk, VA: Norfolk International","National Air System",46
"San Francisco, CA: San Francisco International",Carrier,44
"Cleveland, OH: Cleveland-Hopkins International","National Air System",43
"Miami, FL: Miami International",Weather,41
"Nashville, TN: Nashville International","National Air System",38
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Weather,37
"Buffalo, NY: Buffalo Niagara International","National Air System",36
"Seattle, WA: Seattle/Tacoma International",Carrier,35
"Cincinnati, OH: Cincinnati/Northern Kentucky International","National Air System",34
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Weather,32
"Portland, ME: Portland International Jetport","National Air System",30
"Richmond, VA: Richmond International","National Air System",29
"Houston, TX: George Bush Intercontinental/Houston",Weather,27
"Austin, TX: Austin - Bergstrom International",Weather,26
"Kahului, HI: Kahului Airport",Carrier,26
"Minneapolis, MN: Minneapolis-St Paul International",Weather,23
"Kansas City, MO: Kansas City International","National Air System",21
"Honolulu, HI: Daniel K Inouye International",Carrier,21
"Tampa, FL: Tampa International",Weather,21
"Chicago, IL: Chicago Midway International",Carrier,20
"Greensboro/High Point, NC: Piedmont Triad International","National Air System",19
"Bangor, ME: Bangor International","National Air System",19
"Rochester, NY: Greater Rochester International","National Air System",19
"San Diego, CA: San Diego International",Weather,19
"Louisville, KY: Louisville Muhammad Ali International","National Air System",19
"Milwaukee, WI: General Mitchell International","National Air System",18
"St. Louis, MO: St Louis Lambert International","National Air System",18
"Wilmington, NC: Wilmington International","National Air System",17
"Providence, RI: Theodore Francis Green State","National Air System",17
"Oakland, CA: Metropolitan Oakland International",Carrier,17
"New Orleans, LA: Louis Armstrong New Orleans International",Weather,16
"Burbank, CA: Bob Hope",Carrier,16
"Nantucket, MA: Nantucket Memorial",Weather,16
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,16
"Jacksonville, FL: Jacksonville International","National Air System",15
"Syracuse, NY: Syracuse Hancock International","National Air System",15
"Phoenix, AZ: Phoenix Sky Harbor International",Weather,15
"Phoenix, AZ: Phoenix Sky Harbor International",Carrier,15
"Salt Lake City, UT: Salt Lake City International",Carrier,15
"Charleston, SC: Charleston AFB/International",Weather,14
"Myrtle Beach, SC: Myrtle Beach International","National Air System",14
"Dallas, TX: Dallas Love Field",Carrier,14
"Memphis, TN: Memphis International","National Air System",14
"West Palm Beach/Palm Beach, FL: Palm Beach International",Weather,14
"Santa Ana, CA: John Wayne Airport-Orange County",Carrier,14
"Portland, OR: Portland International",Carrier,14
"White Plains, NY: Westchester County",Weather,13
"Burlington, VT: Burlington International",Weather,12
"Martha's Vineyard, MA: Martha's Vineyard Airport",Weather,12
"Fort Myers, FL: Southwest Florida International",Carrier,12
"Greer, SC: Greenville-Spartanburg International","National Air System",11
"Savannah, GA: Savannah/Hilton Head International",Weather,11
"Savannah, GA: Savannah/Hilton Head International","National Air System",11
"San Antonio, TX: San Antonio International",Carrier,11
"Sacramento, CA: Sacramento International",Carrier,10
"Grand Rapids, MI: Gerald R. Ford International","National Air System",9
"Hartford, CT: Bradley International",Carrier,9
"Harlingen/San Benito, TX: Valley International","National Air System",9
"Madison, WI: Dane County Regional-Truax Field","National Air System",9
"San Juan, PR: Luis Munoz Marin International",Carrier,9
"Albany, NY: Albany International",Weather,8
"Asheville, NC: Asheville Regional","National Air System",8
"Albany, NY: Albany International","National Air System",8
"Charlottesville, VA: Charlottesville Albemarle","National Air System",8
"Lihue, HI: Lihue Airport",Carrier,8
"Birmingham, AL: Birmingham-Shuttlesworth International",Weather,7
"Houston, TX: William P Hobby","National Air System",7
"Harrisburg, PA: Harrisburg International","National Air System",7
"Fayetteville, AR: Northwest Arkansas Regional","National Air System",7
"Anchorage, AK: Ted Stevens Anchorage International",Weather,6
"Key West, FL: Key West International","National Air System",6
"Knoxville, TN: McGhee Tyson",Weather,6
"Oklahoma City, OK: Will Rogers World",Weather,6
