date_flight,"AVG(flights) OVER (order by date_flight ROWS BETWEEN 3 PRECEDING AND 1 PRECEDING)"
2023-09-01,NULL
2023-09-02,19988.0000
2023-09-03,18172.5000
2023-09-04,17767.0000
2023-09-05,17701.3333
2023-09-06,18289.6667
2023-09-07,18596.0000
2023-09-08,18531.3333
2023-09-09,19033.6667
2023-09-10,18696.0000
2023-09-11,18782.6667
2023-09-12,18947.0000
2023-09-13,19419.3333
2023-09-14,19004.6667
2023-09-15,19041.6667
2023-09-16,19667.6667
2023-09-17,19119.0000
2023-09-18,19036.3333
2023-09-19,19072.0000
2023-09-20,19543.6667
2023-09-21,19117.3333
2023-09-22,19148.6667
2023-09-23,19777.3333
2023-09-24,19202.3333
2023-09-25,19084.6667
2023-09-26,19077.3333
2023-09-27,19544.6667
2023-09-28,19118.0000
2023-09-29,19149.6667
2023-09-30,19769.3333
