airline_name,airport_name,avg_departure_delay
"Alaska Airlines Inc.: AS","Bethel, AK: Bethel Airport",32.05
"Allegiant Air: G4","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",93
"American Airlines Inc.: AA","Lexington, KY: Blue Grass",66.55172413793103
"Delta Air Lines Inc.: DL","Palm Springs, CA: Palm Springs International",146.57142857142858
"Endeavor Air Inc.: 9E","Worcester, MA: Worcester Regional",105.4
"Envoy Air: MQ","Providence, RI: Theodore Francis Green State",75.69565217391305
"Frontier Airlines Inc.: F9","Houston, TX: William P Hobby",109.26666666666667
"Hawaiian Airlines Inc.: HA","Boston, MA: Logan International",75.6470588235294
"JetBlue Airways: B6","Portland, OR: Portland International",119.4
"PSA Airlines Inc.: OH","New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",256
"Republic Airline: YX","Columbia, SC: Columbia Metropolitan",53.785714285714285
"SkyWest Airlines Inc.: OO","Cody, WY: Yellowstone Regional",86.5625
"Southwest Airlines Co.: WN","Montrose/Delta, CO: Montrose Regional",28.266666666666666
"Spirit Air Lines: NK","Austin, TX: Austin - Bergstrom International",52.44736842105263
"United Air Lines Inc.: UA","Aguadilla, PR: Rafael Hernandez",71.33333333333333
